Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC8-07A_2017,2017,159,164,NAD83 10N,21.562000274658203,11.245666662851969,13.906000137329102,4.469666699568431
EMFWOR_NCAMC8-07A_2017,2017,164,171,NAD83 10N,29.51799964904785,19.168125092983246,13.906000137329102,1.7382500171661377
EMFWOR_NCAMC8-07A_2017,2017,171,178,NAD83 10N,29.597000122070313,26.358749866485596,0,0
EMFWOR_NCAMC8-07A_2017,2017,178,181,NAD83 10N,25.003000259399414,23.183749675750732,0,0
EMFWOR_NCAMC8-07A_2017,2017,181,188,NAD83 10N,28.27199935913086,26.46262502670288,0,0
EMFWOR_NCAMC8-07A_2018,2018,149,149,NAD83 10N,18.999000549316406,18.999000549316406,0,0
EMFWOR_NCAMC8-07A_2018,2018,149,152,NAD83 10N,21.240999221801758,16.608999729156494,0.6069999933242798,0.15174999833106995
EMFWOR_NCAMC8-07A_2018,2018,152,155,NAD83 10N,23.618000030517578,17.597000122070313,0.6069999933242798,0.15174999833106995
EMFWOR_NCAMC8-07A_2018,2018,155,158,NAD83 10N,23.618000030517578,20.69325017929077,0,0
EMFWOR_NCAMC8-07A_2018,2018,158,162,NAD83 10N,21.277999877929688,16.140799903869627,5.894999980926514,1.5461999893188476
EMFWOR_NCAMC8-07A_2018,2018,162,171,NAD83 10N,23.167999267578125,16.70749979019165,8.326000213623047,1.2107000101357699
EMFWOR_NCAMC8-07A_2018,2018,171,177,NAD83 10N,25.940000534057617,22.73871421813965,0,0
EMFWOR_NCAMC8-07A_2018,2018,177,183,NAD83 10N,24.604999542236328,22.48457145690918,0,0
EMFWOR_NCAMC8-07A_2018,2018,183,187,NAD83 10N,24.565000534057617,22.67319984436035,0,0
EMFWOR_NCAMC8-07A_2019,2019,155,155,NAD83 10N,22.006999969482422,22.006999969482422,0,0
EMFWOR_NCAMC8-07A_2019,2019,155,157,NAD83 10N,22.583999633789063,22.16433334350586,0,0
EMFWOR_NCAMC8-07A_2019,2019,157,161,NAD83 10N,22.583999633789063,15.01520004272461,0.5680000185966492,0.11360000371932984
EMFWOR_NCAMC8-09A_2019,2019,196,196,NAD83 10N,26.6560001373291,26.6560001373291,0,0
EMFWOR_NCAMC8-09A_2019,2019,196,199,NAD83 10N,26.6560001373291,24.847750186920166,0,0
EMFWOR_NCAMC8-09A_2019,2019,199,203,NAD83 10N,29.111000061035156,26.11520004272461,0,0
EMFWOR_NCAMC8-09A_2019,2019,203,206,NAD83 10N,29.111000061035156,28.168749809265137,0,0
EMFWOR_NCAMC8-09A_2019,2019,206,210,NAD83 10N,29.624000549316406,28.57920036315918,0,0
EMFWOR_NCAMC8-09A_2019,2019,210,213,NAD83 10N,29.624000549316406,28.076249599456787,0,0
EMFWOR_NCAMC8-09A_2019,2019,213,217,NAD83 10N,29.15399932861328,28.043799591064452,0,0
EMFWOR_NCAMC8-09A_2020,2020,154,154,NAD83 10N,16.31800079345703,16.31800079345703,0,0
EMFWOR_NCAMC8-09A_2020,2020,154,160,NAD83 10N,24.506999969482422,18.44428559712001,2.0840001106262207,0.5908571652003697
EMFWOR_NCAMC8-09A_2020,2020,160,163,NAD83 10N,22.958999633789063,15.039499640464783,2.0840001106262207,0.8862500190734863
EMFWOR_NCAMC8-09A_2020,2020,163,168,NAD83 10N,23.805999755859375,17.281833171844482,8.206000328063965,3.5505000750223794
EMFWOR_NCAMC8-09A_2020,2020,168,175,NAD83 10N,27.655000686645508,20.02875018119812,5.815999984741211,1.0049999952316284
EMFWOR_NCAMC8-09A_2020,2020,175,181,NAD83 10N,30.594999313354492,26.024428640093124,0.31200000643730164,0.04457142949104309
EMFWOR_NCAMC8-09A_2020,2020,181,183,NAD83 10N,20.256000518798828,16.89400005340576,0.31200000643730164,0.10400000214576721
EMFWOR_NCAMC8-09A_2020,2020,183,188,NAD83 10N,24.466999053955078,22.566166559855144,0,0
EMFWOR_NCAMC8-09A_2020,2020,188,190,NAD83 10N,25.809999465942383,23.985999425252277,0,0
EMFWOR_NCAMC8-09A_2020,2020,190,192,NAD83 10N,25.097000122070313,23.73899968465169,0,0
EMFWOR_NCAMC8-09A_2020,2020,192,195,NAD83 10N,28.538999557495117,26.980499744415283,0,0
EMFWOR_NCAMC8-09A_2020,2020,195,197,NAD83 10N,26.937999725341797,26.440333048502605,0,0
EMFWOR_NLFTT2-01A_2017,2017,180,180,NAD83 10N,21.142000198364258,21.142000198364258,0,0
EMFWOR_NLFTT2-01A_2017,2017,180,192,NAD83 10N,28.871000289916992,25.77884630056528,0,0
EMFWOR_NLFTT2-01A_2017,2017,192,198,NAD83 10N,27.413000106811523,25.62314305986677,0,0
EMFWOR_NLFTT2-01A_2017,2017,198,201,NAD83 10N,25.134000778198242,24.284000396728516,0,0
EMFWOR_NLFTT2-01A_2018,2018,158,158,NAD83 10N,21.28499984741211,21.28499984741211,0,0
EMFWOR_NLFTT2-01A_2018,2018,158,166,NAD83 10N,23.288000106811523,18.110111024644638,6.204999923706055,0.8829999897215102
EMFWOR_NLFTT2-01A_2018,2018,166,170,NAD83 10N,19.905000686645508,15.162200164794921,7.493000030517578,2.2157999992370607
EMFWOR_NLFTT2-01A_2018,2018,170,178,NAD83 10N,26.072999954223633,21.907777574327255,3.5859999656677246,0.39844444062974715
EMFWOR_NLFTT2-01A_2018,2018,178,187,NAD83 10N,24.83300018310547,22.468199729919434,0,0
EMFWOR_NLFTT2-01A_2018,2018,187,191,NAD83 10N,26.225000381469727,24.39759979248047,0,0
EMFWOR_NLFTT2-01A_2018,2018,191,193,NAD83 10N,27.62700080871582,26.169666926066082,0,0
